index,question,answer,response_gemini,running_time_gemini,score,counts,totals,precisions,bp,sys_len,ref_len,rouge1,rouge2,rougeL,rougeLsum
31,Gelar apa untuk lulusan teknik robotika dan kecerdasan buatan?,"Fakultas Teknologi Maju dan Multidisipin, Universitas Airlangga. menetapkan bahwa mahasiswa dari ke-5 program studinya pada akhir masa studinya memperoleh gelar Sarjana Teknik (S.T.).","Maaf, informasi mengenai gelar lulusan teknik robotika dan kecerdasan buatan tidak tersedia dalam konteks yang diberikan.",2.6905157566070557,0.0,"[4, 0, 0, 0]","[18, 17, 16, 15]","[22.22, 0.0, 0.0, 0.0]",0.4856717852477123,18,31,0.14634146341463414,0.0,0.09756097560975609,0.09756097560975609
32,Bendera FTMM berwarna apa?,"Bendera FTMM memiliki warna biru  prusia  (prussian  blue)  melambangkan  FTMM  sebagai  pilar  teknologi  di Universitas Airlangga, warna perak (silver) memiliki makna kemajuan dan harapan sesuai dengan filosofi didirikannya FTMM sebagai bentuk kontribusi untuk Indonesia yang lebih maju melalui penguasaan teknologi, warna  pompadour   melambangkan   harmonisasi   dan   kolaborasi   multidisiplin   ilmu sebagaimana visi pendirian FTMM yang turut berperan aktif dalam pengembangan, penerapan dan kolaborasi IPTEK yang maju. Tiga buah warna yang berjajar melambangkan FTMM yang berangkat dari 3 pilar yang telah ada (health science, life science dan social science), teknologi hadir sebagai katalis kolaborasi antar pilar sehingga membawa keseimbangan bagi Universitas Airlangga sebagai institusi yang komprehensif.","Bendera FTMM berwarna biru prusia, perak, dan pompadour.",3.9401743412017822,0.0,"[10, 2, 0, 0]","[11, 10, 9, 8]","[90.91, 20.0, 0.0, 0.0]",7.152564183772831e-05,11,116,0.12612612612612614,0.03669724770642201,0.12612612612612614,0.12612612612612614
33,Logo FTMM berwarna apa?,Logo FTMM memiliki bentuk huruf tanpa sudut melambangkan FTMM sebagai Fakultas yang dinamis dan mampu beradaptasi terhadap berbagai tantangan. Huruf yang saling bersambung melambangkan kontinuitas FTMM dalam mengembangkan IPTEK. Warna biru dan kuning merupakan warna dasar Universitas Airlangga tempat FTMM bernaung. Gradasi warna pada logo melambangkan FTMM yang kolaboratif dengan berbagai disiplin ilmu yang ada.,Logo FTMM berwarna biru dan kuning. Warna biru dan kuning merupakan warna dasar Universitas Airlangga tempat FTMM bernaung.,2.1844592094421387,10.257398462024417,"[17, 14, 12, 11]","[20, 19, 18, 17]","[85.0, 73.68, 66.67, 64.71]",0.14227407158651353,20,59,0.4109589041095891,0.3380281690140845,0.4109589041095891,0.4109589041095891
34,Apa visi dari FTMM?,"Visi dari FTMM adalah menjadi fakultas teknik unggul dan bermartabat yang berperan aktif dalam pengembangan, penerapan dan kolaborasi ilmu pengetahuan dan teknik yang maju, serta berintegritas tinggi, berbudaya, berasaskan Pancasila dan berdasarkan moral agama untuk menyelesaikan persoalan bangsa.","Visi FTMM adalah menjadi fakultas yang unggul dalam bidang teknologi maju dan multidisiplin, serta berkontribusi signifikan terhadap pembangunan bangsa dan dunia.",2.2792141437530518,6.460973862562264,"[15, 4, 2, 1]","[23, 22, 21, 20]","[65.22, 18.18, 9.52, 5.0]",0.41913374169932255,23,43,0.44067796610169496,0.10526315789473685,0.3389830508474576,0.3389830508474576
35,Apa Misi dari FTMM?,"Misi dari FTMM adalah Menyelenggarakan pendidikan sarjana yang berwawasan internasional untuk menghasilkan lulusan bermoral agama dan mumpuni di bidang ilmu pengetahuan dan teknik yang berdaya guna dan mengabdi untuk kepentingan bangsa, menumbuhkan dan mengembangkan kreativitas, melaksanakan penelitian dan pengabdian kepada masyarakat yang berlandaskan budaya bangsa, mengembangkan kerjasama yang luas dengan lembaga di dalam dan di luar negeri.","Misi FTMM adalah untuk memberikan pendidikan berkualitas tinggi dalam bidang teknologi maju dan multidisiplin, serta melakukan penelitian dan pengabdian kepada masyarakat yang berdampak positif bagi kemajuan teknologi dan kesejahteraan masyarakat.",2.8806803226470947,7.8407615962473045,"[17, 6, 4, 3]","[32, 31, 30, 29]","[53.12, 19.35, 13.33, 10.34]",0.4040365236633421,32,61,0.3448275862068966,0.1411764705882353,0.29885057471264365,0.29885057471264365
36,Apa Visi dari program studi Rekayasa Nanoteknologi?,"Visi dari Program Studi Rekayasa Nanoteknologi adalah menjadi program studi yang unggul dan terdepan dalam menyiapkan sumber daya manusia sekaligus pengembangan ilmu di bidang nanoteknologi medis, nanoteknologi energi dan lingkungan, industri nanoteknologi dan komputasi nanoteknologi untuk kepentingan masyarakat luas.","Misi dari program studi Rekayasa Nanoteknologi adalah:
1. Menyelenggarakan pendidikan Sarjana Program Rekayasa Nanoteknologi secara profesional dan berkualitas dengan berdasarkan perkembangan ilmu pengetahuan serta kebutuhan pasar secara global.
2. Mengembangkan ilmu pengetahuan melalui penelitian laboratorium di bidang nanoteknologi.
3. Melaksanakan pengabdian masyarakat sebagai salah satu bentuk tanggung jawab sosial demi kesejahteraan masyarakat luas.
4. Melakukan dan meningkatkan kerjasama pendidikan dan penelitian dengan berbagai institusi baik di dalam maupun luar negeri dengan mempertimbangkan aspek kesetaraan dan keberlanjutan.",3.4773106575012207,0.0,"[18, 7, 3, 0]","[85, 84, 83, 82]","[21.18, 8.33, 3.61, 0.0]",1.0,85,42,0.3130434782608696,0.1415929203539823,0.24347826086956523,0.2608695652173913
37,Apa Misi dari program studi Rekayasa Nanoteknologi?,"Misi dari Program Studi Rekayasa Nanoteknologi adalah menyelenggarakan pendidikan Sarjana Program Rekayasa Nanoteknologi secara profesional dan berkualitas dengan berdasarkan perkembangan ilmu pengetahuan serta kebutuhan pasar secara global, mengembangkan ilmu pengetahuan melalui penelitian laboratorium di bidang nanoteknologi, melaksanakan pengabdian masyarakat sebagai salah satu bentuk tanggung jawab sosial demi kesejahteraan masyarakat luas dan melakukan dan meningkatkan kerjasama pendidikan dan penelitian dengan berbagai institusi baik di dalam maupun luar negeri dengan mempertimbangkan aspek kesetaraan dan keberlanjutan. ","Visi dari program studi Teknik Elektro adalah menjadi program studi sarjana Teknik Elektro yang inovatif, unggul, dan terkemuka tingkat nasional dan internasional serta berperan dalam aktif dalam usaha mensejahterakan bangsa berdasar moral agama.",3.2895963191986084,0.0,"[9, 0, 0, 0]","[36, 35, 34, 33]","[25.0, 0.0, 0.0, 0.0]",0.32919298780790557,36,76,0.18867924528301885,0.03846153846153846,0.1509433962264151,0.1509433962264151
38,Apa Visi dari program studi Teknik Elektro?,"Visi dari Program Studi Teknik Elektro adalah menjadi program studi sarjana Teknik Elektro yang inovatif, unggul, dan terkemuka tingkat nasional dan internasional serta berperan dalam aktif dalam usaha mensejahterakan bangsa berdasar moral agama.","Misi dari program studi Teknik Elektro adalah:
1. Mengembangkan pendidikan dan penelitian di bidang Teknik Elektro sehingga menghasilkan lulusan yang bereputasi internasional.
2. Berkontribusi nyata untuk menerapkan teknologi yang tepat dan modern di masyarakat nasional dan internasional.",4.089301109313965,0.0,"[14, 6, 2, 0]","[42, 41, 40, 39]","[33.33, 14.63, 5.0, 0.0]",1.0,42,36,0.37142857142857144,0.23529411764705882,0.37142857142857144,0.3142857142857143
39,Apa Misi dari program studi Teknik Elektro?,Misi dari Program Studi Teknik Elektro yaitu mengembangkan pendidikan dan penelitian di bidang Teknik Elektro sehingga menghasilkan lulusan yang bereputasi internasional serta berkontribusi nyata untuk menerapkan teknologi yang tepat dan modern di masyarakat nasional dan internasional.,"Visi dari program studi Teknik Industri Universitas Airlangga adalah menjadi program studi yang unggul dan bermartabat dalam hal pendidikan, penelitian, dan pengabdian masyarakat terkait bidang keilmuan teknik industri di tingkat internasional, berdasarkan moral agama.",2.3778412342071533,0.0,"[12, 0, 0, 0]","[38, 37, 36, 35]","[31.58, 0.0, 0.0, 0.0]",1.0,38,37,0.39999999999999997,0.08823529411764705,0.28571428571428575,0.28571428571428575
40,Apa Visi dari program studi Teknik Industri?,"Visi dari Program Studi Teknik Industri menjadi program studi yang unggul dan bermartabat dalam hal pendidikan, penelitian, dan pengabdian masyarakat terkait bidang keilmuan teknik industri di tingkat internasional, berdasarkan moral agama.","Misi dari program studi Teknik Industri Universitas Airlangga adalah:

1. Melaksanakan program pendidikan bidang Teknik Industri yang selaras dengan aspek keilmuan, perkembangan zaman, berlandaskan moral beragama serta berbangsa.
2. Melaksanakan penelitian baik dalam pengembangan metode dan aplikasi pada bidang advanced manufacturing, ergonomi, dan rekayasa sistem yang berorientasi pada aplikasi dan pengembangan keilmuan Teknik Industri secara luas.
3. Membantu memecahkan permasalahan yang terjadi di masyarakat dengan mengimplementasikan keilmuan Teknik Industri melalui program pengabdian kepada masyarakat.
4. Membangun hubungan kerjasama dengan berbagai sektor di tingkat nasional dan internasional dalam melakukan pendidikan, penelitian dan pengabdian masyarakat terkait keilmuan Teknik Industri.",4.656183242797852,4.607891794224007,"[24, 9, 3, 1]","[111, 110, 109, 108]","[21.62, 8.18, 2.75, 0.93]",1.0,111,35,0.359375,0.19047619047619047,0.28125,0.31249999999999994
41,Apa Misi dari program studi Teknik Industri?,"Misi dari Program Studi Teknik Industri yaitu melaksanakan program pendidikan bidang Teknik Industri yang selaras dengan aspek keilmuan, perkembangan zaman, berlandaskan moral beragama serta berbangsa, melaksanakan penelitian baik dalam pengembangan metode dan aplikasi pada bidang advanced manufacturing, ergonomi, dan rekayasa sistem yang berorientasi pada aplikasi dan pengembangan keilmuan Teknik Industri secara luas, membantu memecahkan permasalahan yang terjadi di masyarakat dengan mengimplementasikan keilmuan Teknik Industri melalui program pengabdian kepada masyarakat dan membangun hubungan kerjasama dengan berbagai sektor di tingkat nasional dan internasional dalam melakukan pendidikan, penelitian dan pengabdian masyarakat terkait keilmuan Teknik Industri. ","Maaf, saya tidak menemukan informasi mengenai visi program studi Teknik Robotika dan Kecerdasan Buatan dalam dokumen yang tersedia.",4.421780586242676,0.0,"[7, 0, 0, 0]","[20, 19, 18, 17]","[35.0, 0.0, 0.0, 0.0]",0.01831563888873418,20,100,0.10909090909090909,0.03703703703703704,0.0909090909090909,0.0909090909090909
42,Apa Visi dari program studi Teknik Robotika dan Kecerdasan Buatan,"Visi dari Program Studi Teknik Robotika dan Kecerdasan Buatan yaitu pada tahun 2035 menjadi program studi sarjana Teknik Robotika dan Kecerdasan Buatan yang inovatif, unggul, dan terkemuka tingkat nasional dan internasional, serta berperan dalam aktif dalam usaha mensejahterakan bangsa berdasar moral agama.","Maaf, saya tidak menemukan informasi mengenai misi program studi Teknik Robotika dan Kecerdasan Buatan dalam dokumen yang tersedia.",2.246837854385376,6.290271672367351,"[11, 5, 3, 2]","[20, 19, 18, 17]","[55.0, 26.32, 16.67, 11.76]",0.27253179303401265,20,46,0.3,0.20689655172413793,0.26666666666666666,0.26666666666666666
43,Apa Misi dari program studi Teknik Robotika dan Kecerdasan Buatan,"Misi dari Program Studi Teknik Robotika dan Kecerdasan Buatan yaitu mempersiapkan lulusan yang mampu mengembangkan metode kecerdasan buatan pada sistem fisik-siber (cyber physical system) yang otonomi (autonomous) pada aplikasi industri secara luas, mengembangkan penelitian baik dalam pengembangan metode dan implementasi kecerdasan buatan pada sistem fisik-siber (cyber physical system) yang otonomi (autonomous) yang berorientasi pada aplikasi di dunia industri secara luas, membantu memecahkan permasalahan yang terjadi di masyarakat terutama lembaga pemerintah dan industri pada bidang Robotika dan Otomasi serta bidang Kecerdasan Buatan, membangun jejaring kerjasama dengan pemangku kepentingan baik pemerintah dan industri maupun institusi lain di tingkat nasional dan internasional dalam pendidikan, penelitian dan pengabdian masyarakat. ","Pada tahun 2030 menjadi sebuah Program Studi S1 Teknologi Sains Data yang unggul di Indonesia dalam penerapan sains data pada bidang kesehatan, sosial dan komunikasi, industri, serta bisnis dan finansial untuk mendukung perkembangan masyarakat ilmiah yang cerdas/unggul dan berbudi pekerti luhur/bermoral karimah.",3.3439137935638428,0.0,"[18, 2, 0, 0]","[50, 49, 48, 47]","[36.0, 4.08, 0.0, 0.0]",0.25666077695355594,50,118,0.19867549668874174,0.026845637583892617,0.13245033112582782,0.13245033112582782
44,Apa Visi dari program studi Teknologi Sains Data,"Visi dari Program Studi Teknologi Sains Data yaitu tahun 2030 menjadi sebuah Program Studi S1 Teknologi Sains Data yang unggul di Indonesia dalam penerapan sains data pada bidang kesehatan, sosial dan komunikasi, industri, serta bisnis dan finansial untuk mendukung perkembangan masyarakat ilmiah yang cerdas/unggul dan berbudi pekerti luhur/bermoral karimah.","Misi dari program studi Teknologi Sains Data adalah:
1. Menyelenggarakan pendidikan di bidang Teknologi Sains Data yang berstandar nasional dan internasional agar mahasiswa mampu untuk berpikir kritis, berwawasan global, dan mengembangkan keterampilan dalam menjawab tantangan global.
2. Menyelenggarakan penelitian dan pengembangan ilmu di bidang Teknologi Sains Data yang berstandar nasional dan internasional di bidang kesehatan, sosial dan komunikasi, industri, serta bisnis dan finansial.
3. Menyelenggarakan pengabdian kepada masyarakat yang menunjang penerapan dan pengembangan ilmu Teknologi Sains Data yang dapat mendukung perkembangan masyarakat dengan ilmiah, cerdas dan bermoral agama serta meningkatkan kesejahteraan masyarakat.",3.4996206760406494,17.45878861998215,"[34, 19, 15, 11]","[105, 104, 103, 102]","[32.38, 18.27, 14.56, 10.78]",1.0,105,57,0.4755244755244755,0.28368794326241137,0.4195804195804196,0.40559440559440557
45,Apa Misi dari program studi Teknologi Sains Data,"Misi dari Program Studi Teknologi Sains Data yaitu enyelenggarakan pendidikan di bidang Teknologi Sains Data yang berstandar nasional dan internasional agar mahasiswa mampu untuk berpikir kritis, berwawasan global, dan mengembangkan keterampilan dalam menjawab tantangan global, menyelenggarakan penelitian dan pengembangan ilmu di bidang Teknologi Sains Data yang berstandar nasional dan internasional di bidang kesehatan, sosial dan komunikasi, industri, serta bisnis dan finansial, menyelenggarakan pengabdian kepada masyarakat yang menunjang penerapan dan pengembangan ilmu Teknologi Sains Data yang dapat mendukung perkembangan masyarakat dengan ilmiah, cerdas dan bermoral agama serta meningkatkan kesejahteraan masyarakat.","Maaf, informasi mengenai pendaftaran mahasiswa baru tidak tersedia dalam konteks yang diberikan.",2.590550661087036,0.0,"[5, 0, 0, 0]","[14, 13, 12, 11]","[35.71, 0.0, 0.0, 0.0]",0.0024787521766663585,14,98,0.05940594059405941,0.0,0.05940594059405941,0.05940594059405941
46,Bagaimana mendaftar untuk menjadi mahasiswa FTMM?,"Untuk pendaftaran dapat melalui SNMPTN, SBMPTN dan Jalur Mandiri yang diadakan oleh pihak Universitas Airlangga","Maaf, informasi mengenai jalur masuk FTMM tidak tersedia dalam konteks yang diberikan.",2.5530571937561035,0.0,"[2, 0, 0, 0]","[14, 13, 12, 11]","[14.29, 0.0, 0.0, 0.0]",0.8668778997501817,14,16,0.14814814814814814,0.0,0.14814814814814814,0.14814814814814814
47,Jalur apa saja untuk menjadi mahasiswa FTMM?,"Untuk pendaftaran dapat melalui SNMPTN, SBMPTN dan Jalur Mandiri yang diadakan oleh pihak Universitas Airlangga","Di FTMM, ada beberapa organisasi mahasiswa yang bisa kamu ikuti, di antaranya:

1. Badan Eksekutif Mahasiswa (BEM) dan Badan Legislatif Mahasiswa (BLM)
2. Himpunan Mahasiswa Program Studi (HMPS)
3. Unit Kegiatan Mahasiswa (UKM)
4. Komunitas Mahasiswa
5. Organisasi Keagamaan
6. Organisasi Penelitian
7. Organisasi Pengembangan Diri
8. Organisasi Penyaluran Hobi

Dengan mengikuti organisasi mahasiswa, kamu bisa mengembangkan soft skill, menambah teman, dan berkontribusi terhadap kemajuan FTMM.",3.762976884841919,0.0,"[3, 0, 0, 0]","[89, 88, 87, 86]","[3.37, 0.0, 0.0, 0.0]",1.0,89,16,0.04938271604938271,0.0,0.024691358024691357,0.04938271604938271
48,Di FTMM ada organisasi apa saja?,"Organisasi mahasiswa yang ada di FTMM yaitu BEM FTMM, BLM FTMM dan lima Hima Prodi.","Tentu saja ada! Di FTMM, terdapat berbagai organisasi mahasiswa (ORMAWA) yang bisa kamu ikuti. Mulai dari komunitas penelitian, pengembangan diri, keagamaan, hingga penyaluran hobi. Dengan adanya ORMAWA ini, kamu bisa menyalurkan minat dan bakatmu, serta berkontribusi dalam pengembangan diri dan masyarakat.",6.513243913650513,0.0,"[7, 1, 0, 0]","[53, 52, 51, 50]","[13.21, 1.92, 0.0, 0.0]",1.0,53,17,0.25,0.1111111111111111,0.14285714285714285,0.14285714285714285
49,Apakah ada organisasi-organisasi di FTMM ?,"Organisasi mahasiswa yang ada di FTMM yaitu BEM FTMM, BLM FTMM dan lima Hima Prodi.",BEM FTMM terbentuk melalui pemilihan umum mahasiswa yang diselenggarakan setiap tahun. Mahasiswa FTMM yang memenuhi syarat dapat memilih calon presiden dan wakil presiden BEM FTMM. Pasangan calon yang memperoleh suara terbanyak akan ditetapkan sebagai presiden dan wakil presiden BEM FTMM terpilih.,2.6320340633392334,0.0,"[8, 2, 0, 0]","[44, 43, 42, 41]","[18.18, 4.65, 0.0, 0.0]",1.0,44,17,0.25,0.07407407407407408,0.21428571428571425,0.21428571428571425
50,Bagaimana BEM FTMM terbentuk?,"Dalam sejarahnya, Fakultas Teknologi Maju dan Multidisiplin membentuk BEM Fakultas Teknologi Maju dan Multidisiplin terbentuk kepengurusan yang pertama pada tahun 2022 ini, dan menggelar pelantikan pengurus inti BEM bersamaan dengan pelantikan pengurus Badan Legislatif Mahasiswa di pertengahan Januari. Ketua BEM terpilih, yakni Aqil Naufal Rizqullah yang merupakan mahasiswa Rekayasa Nanoteknologi, mengusung nama kabinet periode pertama ini dengan nama “Kabinet Maju” yang memiliki visi untuk dapat menjadi wadah dan pusat pergerakan bagi seluruh mahasiswa FTMM dalam mengembangkan potensi terbaiknya, baik didalam ataupun luar negeri, serta membangun kerjasama kolaboratif dengan seluruh elemen FTMM, demi membawa FTMM yang mampu bergerak maju, bersinergi, dan bersaing secara sehat dalam banyak bidang.","Sejarah BEM FTMM UNAIR dimulai pada tahun 2023, dengan Mohammad Farras Reswara Aryandra (TSD 20) sebagai presiden, dan Muhammad Hanif (RN 21) sebagai wapres terpilih. BEM FTMM 2023 membawa Kabinet Pandawa, yang merupakan akronim dari 3 kata, yaitu Pandu, Darma dan Wibawa. Kabinet Pandawa menggantikan Kabinet Maju, yang diusung Aqil Naufal Rizqullah Presiden BEM FTMM masa bakti 2022.",3.591171979904175,0.0,"[29, 5, 1, 0]","[71, 70, 69, 68]","[40.85, 7.14, 1.45, 0.0]",0.5231498562443735,71,117,0.28048780487804875,0.07407407407407407,0.14634146341463414,0.14634146341463414
51,Sejarah BEM FTMM?,"Dalam sejarahnya, Fakultas Teknologi Maju dan Multidisiplin membentuk BEM Fakultas Teknologi Maju dan Multidisiplin terbentuk kepengurusan yang pertama pada tahun 2022 ini, dan menggelar pelantikan pengurus inti BEM bersamaan dengan pelantikan pengurus Badan Legislatif Mahasiswa di pertengahan Januari. Ketua BEM terpilih, yakni Aqil Naufal Rizqullah yang merupakan mahasiswa Rekayasa Nanoteknologi, mengusung nama kabinet periode pertama ini dengan nama “Kabinet Maju” yang memiliki visi untuk dapat menjadi wadah dan pusat pergerakan bagi seluruh mahasiswa FTMM dalam mengembangkan potensi terbaiknya, baik didalam ataupun luar negeri, serta membangun kerjasama kolaboratif dengan seluruh elemen FTMM, demi membawa FTMM yang mampu bergerak maju, bersinergi, dan bersaing secara sehat dalam banyak bidang.","BLM adalah Badan Legislatif Mahasiswa, lembaga legislatif di tingkat mahasiswa di FTMM UNAIR. BLM mempunyai tiga fungsi, yaitu aspirasi, legislasi, dan pengawasan.",4.303522348403931,0.0,"[13, 3, 1, 0]","[28, 27, 26, 25]","[46.43, 11.11, 3.85, 0.0]",0.0416451056544737,28,117,0.109375,0.04761904761904761,0.109375,0.109375
52,Apa itu BLM?,"Badan Legislatif Mahasiswa (BLM) merupakan lembaga legislatif di tingkat mahasiswa. BLM mempunyai tiga fungsi, yaitu aspirasi, legislasi, dan pengawasan. Sebagai badan legislatif, keberadaan BLM sangat krusial guna menyeimbangkan fungsi legislatif dan fungsi eksekutif yang dilakukan oleh Badan Eksekutif Mahasiswa (BEM). BLM menyelenggarakan beberapa kegiatan penting seperti Kongres Mahasiswa (Kosma) serta Monitoring dan Evaluasi (Monev).","BLM mempunyai tiga fungsi, yaitu aspirasi, legislasi, dan pengawasan.",2.6789488792419434,1.246768247477531,"[13, 12, 11, 10]","[13, 12, 11, 10]","[100.0, 100.0, 100.0, 100.0]",0.012467682474775305,13,70,0.2857142857142857,0.26229508196721313,0.2857142857142857,0.2857142857142857
53,Apa tugas dari BLM?,"Badan Legislatif Mahasiswa (BLM) merupakan lembaga legislatif di tingkat mahasiswa. BLM mempunyai tiga fungsi, yaitu aspirasi, legislasi, dan pengawasan. Sebagai badan legislatif, keberadaan BLM sangat krusial guna menyeimbangkan fungsi legislatif dan fungsi eksekutif yang dilakukan oleh Badan Eksekutif Mahasiswa (BEM). BLM menyelenggarakan beberapa kegiatan penting seperti Kongres Mahasiswa (Kosma) serta Monitoring dan Evaluasi (Monev).","Ketua koordinator program studi Teknologi Sains Data adalah Dr. Dwi Rantini, S.Si.",2.47644305229187,0.0,"[4, 0, 0, 0]","[17, 16, 15, 14]","[23.53, 0.0, 0.0, 0.0]",0.04426118996980669,17,70,0.0,0.0,0.0,0.0
54,Siapa ketua koordinator program studi Teknologi Sains Data?,"Ketua koordinator program studi Teknologi Sains Data adalah Dr. Dwi Rantini, S.Si. ","Maaf, saya tidak menemukan informasi tentang ketua koordinator program studi Teknik Elektro dalam dokumen yang tersedia.",2.5618045330047607,0.0,"[5, 2, 1, 0]","[18, 17, 16, 15]","[27.78, 11.76, 6.25, 0.0]",1.0,18,17,0.27586206896551724,0.22222222222222224,0.27586206896551724,0.27586206896551724
55,Siapa ketua koordinator program studi Teknik Elektro,"Ketua koordinator program studi Teknik Elektro adalah Lilik Jamilatul Awalin S.T., M.T., Ph.D ","Ketua koordinator program studi Teknik Robotika dan Kecerdasan Buatan adalah Ibu Purbandini, S.Si., M.Kom.",2.148529291152954,29.88685861808017,"[14, 8, 5, 3]","[22, 21, 20, 19]","[63.64, 38.1, 25.0, 15.79]",0.9555630362682843,22,23,0.5,0.26666666666666666,0.5,0.5
56,Siapa ketua koordinator program studi Teknik Robotika dan Kecerdasan Buatan,"Ketua koordinator program studi Teknik Robotika dan Kecerdasan Buatan adalah Purbandini, S.Si., M.Kom.","Ketua koordinator program studi Teknik Industri adalah Chandrawati Putri Wulandari, S.T., M.T., MBA., Ph.D.",2.2272751331329346,26.064654620515448,"[14, 9, 6, 3]","[28, 27, 26, 25]","[50.0, 33.33, 23.08, 12.0]",1.0,28,21,0.5,0.26666666666666666,0.5,0.5
57,Siapa ketua koordinator program studi Teknik Industri?,"Ketua koordinator program studi Teknik Industri adalah Chandrawati Putri Wulandari, S.T., M.T., MBA., Ph.D. ","Ketua koordinator program studi Rekayasa Nanoteknologi adalah Prof. Dr. Dra. Retno Sari, MSc., Apt.",2.966639280319214,11.520839644704113,"[12, 4, 2, 1]","[21, 20, 19, 18]","[57.14, 20.0, 10.53, 5.56]",0.7165313105737893,21,28,0.3225806451612903,0.20689655172413793,0.3225806451612903,0.3225806451612903
58,Siapa ketua koordinator program studi Rekayasa Nanoteknologi,"Ketua koordinator program studi Rekayasa Nanoteknologi adalah Prof. Dr. Dra. Retno Sari, MSc., Apt ","Maaf, informasi mengenai jumlah jenis tenaga kependidikan di FTMM tidak tersedia dalam konteks yang diberikan.",1.8171322345733643,0.0,"[2, 0, 0, 0]","[17, 16, 15, 14]","[11.76, 0.0, 0.0, 0.0]",0.8382234324229999,17,20,0.0,0.0,0.0,0.0
59,Ada berapa jenis tenaga kerpendidikan di FTMM?,"Tenaga kependidikan FTMM ada beberapa jenis yaitu Kepala Bagian Tata Usaha, Kepala Subbagian Sarana, Prasarana dan Kepala Subbagian SDM dan Keuangan dan Kepala Subbagian Akademik dan Kemahasiswaan","Maaf, informasi mengenai kependidikan FTMM tidak tersedia dalam konteks yang diberikan.",1.7329950332641602,0.0,"[3, 1, 0, 0]","[13, 12, 11, 10]","[23.08, 8.33, 0.0, 0.0]",0.29206782369141415,13,29,0.10526315789473684,0.05555555555555555,0.10526315789473684,0.10526315789473684
60,Kependidikan FTMM terdiri dari apa saja?,"Tenaga kependidikan FTMM ada beberapa jenis yaitu Kepala Bagian Tata Usaha, Kepala Subbagian Sarana, Prasarana dan Kepala Subbagian SDM dan Keuangan dan Kepala Subbagian Akademik dan Kemahasiswaan",Informasi mengenai kelompok penelitian di FTMM tidak tersedia dalam konteks yang diberikan.,2.0842764377593994,0.0,"[1, 0, 0, 0]","[13, 12, 11, 10]","[7.69, 0.0, 0.0, 0.0]",0.29206782369141415,13,29,0.05128205128205128,0.0,0.05128205128205128,0.05128205128205128
61,Apakah ada kelompok penelitian di FTMM?,"Kelompok penelitian yang dimiliki oleh FTMM yaitu Food and Environment Nanotechnology, Nanotechnology and Nanomedicine, Human Factor and System Engineering, Advanced Manufacturing and Computational Approach, Data-Driven Decision Support System, Robotics and Mechatronics, Digital Health, Computational Learning, Intelligent Systems, Renewable and Sustainable Energy Tecnology dan Intelligent Power and Control Engineering. ",Visi dari Food and Environment Nanotechnology adalah menjadi grup riset yang mampu menyelesaikan masalah bangsa dalam bidang food dan environment.,3.0792105197906494,2.2454736223192233,"[7, 3, 2, 1]","[21, 20, 19, 18]","[33.33, 15.0, 10.53, 5.56]",0.17171747122199255,21,58,0.17391304347826086,0.08955223880597014,0.14492753623188406,0.14492753623188406
62,Apa Visi dari Food and Environment Nanotechnology?,"Food and Environment Nanotechnology memiliki visi menjadi grup riset yang mampu menyelesaikan masalah bangsa dalam bidang food dan environment dan misi mengembangkan material absorban dari bahan alam untuk absorbsi dan dekomposisi bahan pewarna, mengembangkan material absorban dari bahan alam untuk absorbsi dan pemisahan logam berat, mengembangkan material absorban dari bahan sintetik untuk absorbsi dan dekomposisi bahan pewarna dan mengembangkan material absorban dari bahan sintetik untuk absorbsi dan pemisahan logam berat.","Kelompok FoodEnviroment Nanotechnology menghasilkan:
- Material absorban dari bahan alam untuk absorbsi dan dekomposisi bahan pewarna.
- Material absorban dari bahan alam untuk absorbsi dan pemisahan logam berat.
- Material absorban dari bahan sintetik untuk absorbsi dan dekomposisi bahan pewarna.
- Material absorban dari bahan sintetik untuk absorbsi dan pemisahan logam berat.",3.082423686981201,47.53118940463854,"[42, 37, 33, 29]","[57, 56, 55, 54]","[73.68, 66.07, 60.0, 53.7]",0.7552535529531296,57,73,0.7627118644067797,0.689655172413793,0.7627118644067797,0.4745762711864407
